total,filter,remove,rank,organization,country,country_iso,ratio,asn,region
22,0,0,7732,PE Filimonov Boris Yurievich,Russia,RU,0,42892,RIPE NCC
22,0,0,7733,Viettel Tanzania PLC,Tanzania,TZ,0,327885,AFRINIC
22,0,0,7735,Radiant telecommunications,Bangladesh,BD,0,38067,APNIC
22,0,0,7737,SdV-Plurimedia,France,FR,0,8839,RIPE NCC
22,0,0,7738,Stadtwerke Konstanz GmbH,Germany,DE,0,57154,RIPE NCC
22,0,0,7742,Blast Communications Inc.,United States,US,0,26328,ARIN
22,0,0,7743,Sudatel Senegal,Senegal,SN,0,37196,AFRINIC
22,22,0,7744,"NEXT LEVEL INTERNET, INC.",United States,US,1,16582,ARIN
22,0,0,7745,Douglas County PUD,United States,US,0,27373,ARIN
22,22,0,7746,Creolink Communications,Cameroon,CM,1,36905,AFRINIC
22,14,0,7747,Brightsolid Online Technology Ltd,United Kingdom,GB,0.64,5564,RIPE NCC
22,0,0,7748,super midia tv a cabo ltda,Brazil,BR,0,53122,LACNIC
22,0,0,7749,Maxima Ltd.,Ukraine,UA,0,42104,RIPE NCC
22,22,0,7750,Bendigo Community Telco Limited,Australia,AU,1,38611,APNIC
22,0,0,7751,Adept Internet (Pty) Ltd CT,South Africa,ZA,0,15022,AFRINIC
22,0,0,7757,"LAN-Optic, Ltd",Russia,RU,0,47193,RIPE NCC
22,0,0,7757,Oceanet Technology SAS,France,FR,0,20926,RIPE NCC
22,0,0,7761,Redbird Communications Inc,Canada,CA,0,54980,ARIN
22,0,0,7763,Grupo Solunet SRL,Argentina,AR,0,28111,LACNIC
22,0,0,7763,AfriConnect Zambia Ltd,Zambia,ZM,0,36959,AFRINIC
22,0,0,7763,Trakia Kabel OOD,Bulgaria,BG,0,38924,RIPE NCC
22,0,0,7767,PBX-Change,United States,US,0,22549,ARIN
22,0,0,7768,"Association of financial market participants ""Nonprofit Partnership for the Development of Financial Market RTS""",Russia,RU,0,6694,RIPE NCC
22,20,0,7771,"Volcano Vision, Inc.",United States,US,0.91,18632,ARIN
22,22,0,7772,Cedar Networks,United States,US,1,21803,ARIN
22,0,0,7773,MTS PJSC,Russia,RU,0,49816,RIPE NCC
22,0,0,7775,"PP ""Lurenet""",Ukraine,UA,0,50643,RIPE NCC
22,22,0,7776,Wi-Manx Limited,Isle of Man,IM,1,42455,RIPE NCC
22,0,0,7777,Nizhnetagilskie Kompyuternye Seti LLC,Russia,RU,0,49218,RIPE NCC
22,0,0,7778,Tele.RU Ltd.,Russia,RU,0,42429,RIPE NCC
22,0,0,7779,UAB Consilium Optimum,Lithuania,LT,0,43700,RIPE NCC
22,0,0,7780,ATW Internet Kft.,Hungary,HU,0,41075,RIPE NCC
22,0,0,7780,"Ario, d.o.o.",Slovenia,SI,0,44647,RIPE NCC
22,0,0,7784,NETIWAN SAS,France,FR,0,198682,RIPE NCC
22,17,0,7787,MyAcct LTD,Bulgaria,BG,0.77,24750,RIPE NCC
22,0,0,7788,Solvinity B.V.,Netherlands,NL,0,29311,RIPE NCC
22,0,0,7788,SOUTH ARKANSAS TELEPHONE COMPANY,United States,US,0,6528,ARIN
22,22,0,7790,Holyoke Gas & Electric Department,United States,US,1,19323,ARIN
22,0,0,7792,PJSC Rostelecom,Russia,RU,0,12380,RIPE NCC
22,0,0,7792,Lanka Bell Limited,Sri Lanka,LK,0,45224,APNIC
22,0,0,7792,Sohonet Pty Ltd,Australia,AU,0,24380,APNIC
22,0,0,7792,Agence De l'Informatique de l'Etat,Senegal,SN,0,328148,AFRINIC
22,0,0,7797,Internet For Business Ltd.,United Kingdom,GB,0,8902,RIPE NCC
22,0,0,7799,UG-TELECOM Ltd.,Russia,RU,0,43567,RIPE NCC
22,22,0,7801,Algerian Academic Research Network,Algeria,DZ,1,3208,AFRINIC
22,0,0,7803,First Light Fiber,United States,US,0,11524,ARIN
22,0,0,7803,"Willamette Valley Internet, L.L.C.",United States,US,0,12044,ARIN
22,0,0,7807,GRAMEEN CYBERNET,Bangladesh,BD,0,17471,APNIC
22,0,0,7808,PJSC MegaFon,Russia,RU,0,41976,RIPE NCC
22,0,0,7808,"Plant TiftNet, Inc",United States,US,0,21898,ARIN
22,7,0,7811,TOPNET SA de CV,Mexico,MX,0.32,16531,LACNIC
22,0,0,7812,CMB TAEGU BROADCASTING,South Korea,KR,0,18033,APNIC
22,0,0,7816,ART-COM Sp. z o.o.,Poland,PL,0,33923,RIPE NCC
22,22,0,7817,LM Layer and Mesh AB,Sweden,SE,1,42303,RIPE NCC
22,0,0,7818,TelKel inc.,Canada,CA,0,394232,ARIN
22,0,0,7819,Internet Union Spolka Akcyjna,Poland,PL,0,49242,RIPE NCC
22,0,0,7824,Stadtwerke Kapfenberg,Austria,AT,0,41491,RIPE NCC
22,0,0,7825,"Foothills Rural Telephone Cooperative Corporation, Inc.",United States,US,0,394111,ARIN
22,0,0,7826,HASHIKMA NGN International Communications 015LTD,Israel,IL,0,199270,RIPE NCC
22,22,0,7827,S & T COMMUNICATIONS LLC,United States,US,1,30027,ARIN
22,0,0,7829,"Charlotte Colocation Center, LLc",United States,US,0,11402,ARIN
22,4,0,7830,Cambridge Telephone,United States,US,0.18,397285,ARIN
22,0,0,7831,Ivent Mobile bv,Netherlands,NL,0,59865,RIPE NCC
22,0,0,7832,G2NET SUL PROVEDOR LTDA,Brazil,BR,0,53061,LACNIC
22,0,0,7833,Telemidia Sistema de Telecomunicacao Ltda,Brazil,BR,0,262729,LACNIC
22,0,0,7835,Pivotel Group Pty Limited,Australia,AU,0,132789,APNIC
22,21,0,7837,Quadro Communications Co-Operative Inc,Canada,CA,0.95,25914,ARIN
22,0,0,7838,PADINET - Padi Internet,Indonesia,ID,0,23756,APNIC
22,0,0,7838,BELWAVE COMMUNICATIONS,United States,US,0,33481,ARIN
22,0,0,7840,Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anonim Sirketi,Turkey,TR,0,50941,RIPE NCC
22,19,0,7841,Mid Century Communications,United States,US,0.86,393892,ARIN
22,0,0,7842,UKDedicated LTD,United Kingdom,GB,0,34282,RIPE NCC
22,0,0,7842,Comeser S.r.l.,Italy,IT,0,39657,RIPE NCC
22,0,0,7848,Tele-plus LLC,Russia,RU,0,30855,RIPE NCC
22,0,0,7850,Zayo Bandwidth,United States,US,0,13555,ARIN
22,0,0,7853,Iristel Inc,Canada,CA,0,33164,ARIN
22,21,0,7854,"Clear Rate Communications, Inc.",United States,US,0.95,22438,ARIN
22,0,0,7856,"Missouri Telecom, Inc.",United States,US,0,23127,ARIN
22,0,0,7857,"DataCenter.BZ, LLC",United States,US,0,40715,ARIN
22,22,0,7858,"Y K Communications, LTD",United States,US,1,13943,ARIN
22,0,0,7863,JSC Elektrosvyaz,Russia,RU,0,44391,RIPE NCC
22,0,0,7864,"EvolveIP, LLC",United States,US,0,25843,ARIN
22,22,0,7865,TVCOM Ltd.,Ukraine,UA,1,57033,RIPE NCC
22,0,0,7866,Joint Stock Company TransTeleCom,Russia,RU,0,196797,RIPE NCC
22,0,0,7871,DoclerWeb Informatikai Kft.,Hungary,HU,0,47381,RIPE NCC
22,0,0,7873,Telecoms-Net Ltd.,Bulgaria,BG,0,16154,RIPE NCC
22,22,0,7874,ELLINIKA DIKTIA KALODION MEPE,Greece,GR,1,57794,RIPE NCC
22,0,0,7878,Cooperativa Villa del Rosario (Coovilros),Argentina,AR,0,28100,LACNIC
22,0,0,7882,Orange S.A.,France,FR,0,2280,RIPE NCC
22,11,0,7883,Opera Software Americas LLC,United States,US,0.5,21837,ARIN
22,0,0,7884,Sewan Belgium SA,Belgium,BE,0,196755,RIPE NCC
22,0,0,7885,Izhevsk Network Technologies Ltd,Russia,RU,0,35558,RIPE NCC
22,0,0,7885,METROBIT Ltd.,Russia,RU,0,45054,RIPE NCC
22,0,0,7887,Kabelna Televizia Delta Ltd.,Bulgaria,BG,0,43548,RIPE NCC
22,0,0,7887,"TV ALMANSA, S.L.",Spain,ES,0,41368,RIPE NCC
22,0,0,7889,S&P Global Inc,United States,US,0,4546,ARIN
22,0,0,7891,www.Funknetz.at LE GmbH,Austria,AT,0,20704,RIPE NCC
22,0,0,7894,Edaptivity.com Inc,Canada,CA,0,16949,ARIN
22,0,0,7895,MicroIntegration Inc,United States,US,0,36443,ARIN
22,0,0,7896,CN CARE NETWORK LTD,Hong Kong,HK,0,135356,APNIC
22,0,0,7900,ORANGE GUINEE,Guinea,GN,0,37461,AFRINIC
22,0,0,7900,Alpha Net Telecom Ltd,Russia,RU,0,47954,RIPE NCC
22,22,0,7909,ADDIX Internet Services GmbH,Germany,DE,1,25415,RIPE NCC
22,0,0,7910,WIFIWEB s.r.l.,Italy,IT,0,47927,RIPE NCC
22,0,0,7911,Internet one SRL,Italy,IT,0,44160,RIPE NCC
22,16,0,7912,"Sail Internet, Inc.",United States,US,0.73,396097,ARIN
22,0,0,7915,Net4You Internet GmbH,Austria,AT,0,6798,RIPE NCC
22,0,0,7916,Liberty Communications,United States,US,0,26725,ARIN
22,0,0,7917,Maverick Network sp. z o.o,Poland,PL,0,34688,RIPE NCC
22,0,0,7917,Network Kazakhstan LLC,Kazakhstan,KZ,0,62062,RIPE NCC
22,0,0,7917,"University of Warmia and Mazury in Olsztyn, Poland",Poland,PL,0,15798,RIPE NCC
22,22,0,7920,FIDOKA SRL,Italy,IT,1,200148,RIPE NCC
22,0,0,7922,MTS PJSC,Russia,RU,0,44579,RIPE NCC
22,0,0,7924,Kurlec Wireless (PTY) Ltd,South Africa,ZA,0,328320,AFRINIC
22,0,0,7925,Link10 - Cataguases Net Ltda,Brazil,BR,0,262428,LACNIC
22,0,0,7926,GorPTUs OOO,Russia,RU,0,47531,RIPE NCC
22,0,0,7927,Sanmina-SCI Corporation,United States,US,0,23154,ARIN
22,0,0,7930,ESPACO DIGITAL,Brazil,BR,0,52689,LACNIC
22,6,0,7931,HomeNet LTDA,Chile,CL,0.27,264780,LACNIC
22,0,0,7933,ABCREDE PROVEDOR DE INTERNET EIRELI,Brazil,BR,0,28265,LACNIC
22,0,0,7934,SERVICIOS INTERNET LTDA,Chile,CL,0,22860,LACNIC
22,0,0,7935,"Hamilton County Communications, Inc",United States,US,0,36813,ARIN
22,0,0,7937,Gorodskaya elektronnaya svyaz Ltd,Russia,RU,0,31643,RIPE NCC
22,0,0,7937,"Online Tech, LLC",United States,US,0,11115,ARIN
22,0,0,7940,"COMPAÑIA DE TELEVISION VIA SATELITE, S.A. (TEVISAT S.A.)",Honduras,HN,0,27923,LACNIC
22,0,0,7940,Nordic Telecom Regional s.r.o.,Czechia,CZ,0,48474,RIPE NCC
22,0,0,7942,C'PRO Networks SASU,France,FR,0,197033,RIPE NCC
22,20,0,7943,NBCUniversal,United States,US,0.91,17035,ARIN
22,0,0,7944,The Digital Lab 2007 Limited,New Zealand,NZ,0,9303,APNIC
22,6,0,7947,Dialnet de Colombia S.A. E.S.P.,Colombia,CO,0.27,27837,LACNIC
22,8,0,7947,Mongolia Telecom,Mongolia,MN,0.36,9934,APNIC
22,0,0,7950,Radio Link Internet,United States,US,0,53301,ARIN
22,0,0,7953,Options Technology Ltd,United Kingdom,GB,0,29457,RIPE NCC
22,0,0,7954,M5 Computer Security,United States,US,0,21581,ARIN
22,0,0,7956,Krick Management GmbH trading as iWelt GmbH + Co. KG,Germany,DE,0,13289,RIPE NCC
22,0,0,7958,ESDS Software Solution Pvt. Ltd.,India,IN,0,45815,APNIC
22,0,0,7959,Liberty Technologies Corp.,Panama,PA,0,27928,LACNIC
22,22,0,7960,Columbia Power and Water Systems,United States,US,1,30264,ARIN
22,0,0,7966,Peter Rauter GmbH,Austria,AT,0,39878,RIPE NCC
22,0,0,7967,Beltrãonet Telecomunicações LTDA - EPP,Brazil,BR,0,28285,LACNIC
22,0,0,7970,"Information-Computer Center Oberon Plus, LLC",Russia,RU,0,34573,RIPE NCC
22,0,0,7971,Stroytechservice LLC,Russia,RU,0,47684,RIPE NCC
22,3,0,7973,Capita Business Services Ltd,United Kingdom,GB,0.14,196744,RIPE NCC
22,0,0,7974,,Japan,JP,0,18266,APNIC
22,0,0,7974,INTRA DATA COMMUNICATION,Mozambique,MZ,0,42235,AFRINIC
22,0,0,7974,"Eastern Oregon Net, Inc.",United States,US,0,12009,ARIN
22,0,0,7974,Mount Horeb Telephone Co,United States,US,0,11183,ARIN
22,15,0,7980,PT ARTHA TELEKOMINDO,Indonesia,ID,0.68,23953,APNIC
22,0,0,7984,OOO Kolpinskie Internet-Seti,Russia,RU,0,47211,RIPE NCC
22,0,0,7985,Accelerit Technologies PTY LTD,South Africa,ZA,0,327996,AFRINIC
22,0,0,7986,NET.COM TELECOMUNICAÇÕES,Brazil,BR,0,28131,LACNIC
22,22,0,7987,WEB NET COMERCIO DE EQUIPAMENTOS LTDA,Brazil,BR,1,28340,LACNIC
22,22,0,7988,Cibicom A/S,Denmark,DK,1,3342,RIPE NCC
22,0,0,7989,"ALTAN REDES, S.A.P.I. de C. V.",Mexico,MX,0,265540,LACNIC
22,0,0,7990,Interjato Serviços de Telecomunicações Ltda.,Brazil,BR,0,28184,LACNIC
22,0,0,7992,DIRECTV COLOMBIA LTDA.,Colombia,CO,0,262928,LACNIC
22,0,0,7993,University of Cyprus,Cyprus,CY,0,3268,RIPE NCC
22,0,0,7994,Andhra Pradesh State FiberNet Limited,India,IN,0,133287,APNIC
22,0,0,7994,"WEDOS Internet, a.s.",Czechia,CZ,0,197019,RIPE NCC
22,22,0,7999,,Japan,JP,1,7664,APNIC
22,0,0,8000,Sulcom Informática Ltda,Brazil,BR,0,262544,LACNIC
22,0,0,8000,Public Utility District No. 1 of Okanogan County,United States,US,0,22608,ARIN
22,0,0,8000,ITELKOM,Colombia,CO,0,262215,LACNIC
22,0,0,8000,TELEOPERADORA DEL NORDESTE S.R.L,Dominican Republic,DO,0,264750,LACNIC
22,0,0,8000,BR.Digital Corporate,Brazil,BR,0,61889,LACNIC
22,0,0,8007,Olivenet Network S.L.,Spain,ES,0,201746,RIPE NCC
22,0,0,8008,Infinity Telecom SRL,Romania,RO,0,56654,RIPE NCC
22,0,0,8010,AxcelX Technologies LLC,United States,US,0,33083,ARIN
22,0,0,8013,Coral Telecom N.V.,Sint Maarten,SX,0,262181,LACNIC
22,0,0,8013,RI Networks Pvt. Ltd.,India,IN,0,135031,APNIC
22,0,0,8016,Alfa Telecom CJSC,Kyrgyzstan,KG,0,50223,RIPE NCC
22,0,0,8018,Allianz Technology SE,Germany,DE,0,15580,RIPE NCC
22,0,0,8020,SilverIP Communications Inc.,United States,US,0,46811,ARIN
22,0,0,8026,Intesa Sanpaolo S.p.A.,Italy,IT,0,20942,RIPE NCC
22,0,0,8027,Bell Teleservices India Pvt Ltd,India,IN,0,45648,APNIC
22,0,0,8027,Etix Everywhere Ouest SASAU,France,FR,0,197816,RIPE NCC
22,22,0,8046,Pure Broadband Ltd,United Kingdom,GB,1,201508,RIPE NCC
22,0,0,8047,Company Uraltranskom Ltd.,Russia,RU,0,41082,RIPE NCC
22,0,0,8048,Airwire Ltd,Ireland,IE,0,42227,RIPE NCC
22,0,0,8049,BLU Fibre Networks inc.,Canada,CA,0,46320,ARIN
22,0,0,8052,"ESPN, Inc.",United States,US,0,4549,ARIN
22,0,0,8056,"""Yug-Link"" Ltd.",Russia,RU,0,42478,RIPE NCC
22,0,0,8057,NetLink América C.A.,Venezuela,VE,0,263703,LACNIC
22,0,0,8059,Skycorp S.A.,Argentina,AR,0,262192,LACNIC
22,0,0,8062,"City of North Kansas City, MO",United States,US,0,11708,ARIN
22,0,0,8064,Geny Communications SRL,Italy,IT,0,45015,RIPE NCC
22,0,0,8067,Neolink Telecomunicações LTDA,Brazil,BR,0,262777,LACNIC
22,16,0,8068,Beamspeed LLC,United States,US,0.73,14237,ARIN
22,0,0,8069,A1 Srbija d.o.o,Serbia,RS,0,44143,RIPE NCC
22,0,0,8070,Davitel S.A.,Argentina,AR,0,28009,LACNIC
22,0,0,8071,SATURNO COMUNICAÇÕES LTDA,Brazil,BR,0,262784,LACNIC
22,0,0,8072,Hormuud Telecom Somalia INC,Somalia,SO,0,37371,AFRINIC
22,22,0,8073,"El Salvador Network, S. A.",El Salvador,SV,1,16906,LACNIC
22,22,0,8074,Quality Service Provider BV,Netherlands,NL,1,12315,RIPE NCC
22,0,0,8075,MTN Zambia,Zambia,ZM,0,36962,AFRINIC
22,0,0,8076,Swift High Speed.com,Canada,CA,0,393445,ARIN
22,0,0,8077,Murmansk Multiservice Networks-ShPD LLC,Russia,RU,0,42575,RIPE NCC
22,22,0,8077,Fujitsu Services A/S,Denmark,DK,1,35033,RIPE NCC
22,0,0,8088,Broad Band Telecom Services Ltd,Bangladesh,BD,0,45326,APNIC
22,22,0,8090,"ABAK, Co.Ltd.",Czechia,CZ,1,39761,RIPE NCC
22,0,0,8092,Homaye Jahan Nama Co. ( Private Joint Stock),Iran,IR,0,9147,RIPE NCC
22,0,0,8096,Fiber Optics Bulgaria OOD,Bulgaria,BG,0,42459,RIPE NCC
22,16,0,8097,GGew net GmbH,Germany,DE,0.73,30766,RIPE NCC
22,0,0,8100,ARM Ltd,United Kingdom,GB,0,28939,RIPE NCC
22,0,0,8103,Zimcom Network Solutions Inc.,United States,US,0,30059,ARIN
22,0,0,8104,Electrica LLC,Russia,RU,0,49821,RIPE NCC
22,0,0,8106,OOO RTK,Russia,RU,0,57181,RIPE NCC
22,0,0,8112,PT. Dutakom Wibawa Putra,Indonesia,ID,0,38778,APNIC
22,0,0,8114,Andreas Fink trading as Fink Telecom Services GmbH,Switzerland,CH,0,6775,RIPE NCC
22,0,0,8115,Linha Livre Internet Ltda,Brazil,BR,0,7048,LACNIC
22,22,0,8116,"STK ""TV SAT 364""",Poland,PL,1,42830,RIPE NCC
22,0,0,8118,Microsystem-Kecskemet Kft,Hungary,HU,0,197889,RIPE NCC
22,0,0,8119,Center of Information Technologies Kharkiv Online Subsidiary,Ukraine,UA,0,196957,RIPE NCC
22,0,0,8120,"""RENAM"" Public Association",Moldova,MD,0,9199,RIPE NCC
22,0,0,8121,Elitel Telecom Group Ltd,Russia,RU,0,56689,RIPE NCC
22,8,0,8122,NODOCOOP Federación de Cooperativas Ltda.,Argentina,AR,0.36,27987,LACNIC
22,0,0,8125,Veganet Teknolojileri ve Hizmetleri LTD STI,Turkey,TR,0,206119,RIPE NCC
22,0,0,8125,"ALTIUS Broadband, LLC",United States,US,0,25851,ARIN
22,0,0,8127,Limited liability company Byte-SD,Ukraine,UA,0,42430,RIPE NCC
22,0,0,8129,T-Systems do Brasil Ltda.,Brazil,BR,0,53070,LACNIC
22,20,0,8132,Scotnet.co.uk Ltd,United Kingdom,GB,0.91,28757,RIPE NCC
22,0,0,8133,Brainbox S.r.l.,Italy,IT,0,59919,RIPE NCC
22,0,0,8135,HARDONLINE LTDA,Brazil,BR,0,28229,LACNIC
22,0,0,8136,Super Cabo TV Caratinga Ltda,Brazil,BR,0,53050,LACNIC
22,0,0,8137,HELLO BRAZIL REPRESENTACAO DE COMERCIO DE EQUIPAM,Brazil,BR,0,262457,LACNIC
22,0,0,8138,POSITIVO SRL,Italy,IT,0,49360,RIPE NCC
22,6,0,8144,PS5 Internet,Brazil,BR,0.27,28327,LACNIC
22,0,0,8145,Acesse Comunicação Ltda,Brazil,BR,0,53078,LACNIC
22,0,0,8147,Southern Fibernet Corporation,United States,US,0,393670,ARIN
22,0,0,8147,Firma Sotrudnik Plus Ltd.,Russia,RU,0,47370,RIPE NCC
22,0,0,8150,"Vidikon-K, CJSC",Russia,RU,0,57214,RIPE NCC
22,0,0,8151,Deutsche Bank AG,Germany,DE,0,8373,RIPE NCC
22,0,0,8151,Carbon Lehigh Intermediate Unit 21,United States,US,0,32162,ARIN
22,0,0,8156,Cable Television Network Ltd.,Tanzania,TZ,0,327728,AFRINIC
22,0,0,8156,Datec-PNG,Papua New Guinea,PG,0,55792,APNIC
22,22,0,8156,Auburn Essential Services,United States,US,1,14140,ARIN
22,0,0,8156,GSP LLC,Azerbaijan,AZ,0,203622,RIPE NCC
22,0,0,8162,Impuls,Ukraine,UA,0,28996,RIPE NCC
22,0,0,8166,Newroads Telecom,United States,US,0,22346,ARIN
22,0,0,8168,SkyVision Global Networks Ltd,Bermuda,BM,0,8513,ARIN
22,22,0,8170,High Desert Internet Services,United States,US,1,32614,ARIN
22,0,0,8172,Disney Streaming Services,United States,US,0,11251,ARIN
22,20,0,8174,Empire District Industries,United States,US,0.91,63457,ARIN
22,0,0,8176,Megavista Online S.L.,Spain,ES,0,199312,RIPE NCC
22,0,0,8177,Art-telecom Ltd.,Russia,RU,0,196936,RIPE NCC
22,0,0,8177,"TOV ""Magnus Limited""",Ukraine,UA,0,24872,RIPE NCC
22,22,0,8181,Kaopu Cloud HK Limited,Hong Kong,HK,1,138915,APNIC
22,22,0,8183,DATACENTRES LIMITED,United Kingdom,GB,1,31595,RIPE NCC
22,0,0,8186,Telecom.ru Ltd,Russia,RU,0,50716,RIPE NCC
22,0,0,8187,Gigabit ApS,Denmark,DK,0,60876,RIPE NCC
22,22,0,8188,Yes Networks Unlimited Ltd,Seychelles,SC,1,62160,AFRINIC
22,22,0,8189,Cyberlan Ltd.,Ukraine,UA,1,56600,RIPE NCC
22,22,0,8190,Lakeland Networks,Canada,CA,1,30549,ARIN
22,0,0,8191,"SMART CHOICE COMMUNICATIONS, LLC",United States,US,0,11168,ARIN
22,22,0,8193,DataOppdrag AS,Norway,NO,1,49409,RIPE NCC
22,0,0,8194,"LLC ""MyTeleCom""",Ukraine,UA,0,41737,RIPE NCC
22,0,0,8196,YoAfrica (Pvt) Ltd,Zimbabwe,ZW,0,37189,AFRINIC
22,0,0,8196,Clevernet GmbH,Germany,DE,0,48585,RIPE NCC
22,0,0,8196,CJSC INDIGO TAJIKISTAN,Tajikistan,TJ,0,47139,RIPE NCC
22,0,0,8202,Helsinge Net Ovanaker AB,Sweden,SE,0,60213,RIPE NCC
22,0,0,8202,"Chequamegon Communications Cooperative, Inc.",United States,US,0,397122,ARIN
22,0,0,8202,Joint-stock company Orient-Telecom,Russia,RU,0,5547,RIPE NCC
22,0,0,8205,Borwood Ltd,United Kingdom,GB,0,29606,RIPE NCC
22,0,0,8210,Xeon LLC,Russia,RU,0,56864,RIPE NCC
22,0,0,8211,Unet Communication LLC,Ukraine,UA,0,42518,RIPE NCC
22,0,0,8212,Broadwave,United States,US,0,62622,ARIN
22,0,0,8213,OOO 'Pronet',Russia,RU,0,48467,RIPE NCC
22,0,0,8214,Vlan24,United States,US,0,14821,ARIN
22,0,0,8215,Wabash Independent Networks,United States,US,0,23188,ARIN
22,0,0,8216,"SerDi TeleCom, LTD",Russia,RU,0,49759,RIPE NCC
22,0,0,8217,Baynur and P Ltd.,Kazakhstan,KZ,0,59443,RIPE NCC
22,0,0,8218,"""NBI INTERNET"" LLC",Ukraine,UA,0,12788,RIPE NCC
22,0,0,8220,PI DATA CENTERS PRIVATE LIMITED,India,IN,0,135133,APNIC
22,22,0,8220,FOP Zubenko Volodimir Oleksandrovich,Ukraine,UA,1,47513,RIPE NCC
22,0,0,8223,"JSC ""ER-Telecom Holding""",Russia,RU,0,45051,RIPE NCC
22,0,0,8226,Centro Educacional Nossa Senhora Auxiliadora,Brazil,BR,0,53111,LACNIC
22,0,0,8227,"NovInvestRezerv, LLC",Russia,RU,0,8410,RIPE NCC
22,0,0,8229,Educational Network Ltd.,Russia,RU,0,9032,RIPE NCC
22,0,0,8230,2talk Limited,New Zealand,NZ,0,55561,APNIC
22,0,0,8232,"TOM-NET s.c. Dariusz Koper, Radoslaw Koper",Poland,PL,0,57332,RIPE NCC
22,0,0,8233,Internet 5.8 Ltda-ME,Brazil,BR,0,262394,LACNIC
22,0,0,8233,East Telecom Ltd.,Russia,RU,0,8395,RIPE NCC
22,0,0,8236,Zolotaya Linia Ltd.,Russia,RU,0,41148,RIPE NCC
22,0,0,8238,ELETRODATA LTDA,Brazil,BR,0,262728,LACNIC
22,0,0,8238,WECOM INC,United States,US,0,7352,ARIN
22,0,0,8241,BITNET ISP AS,Indonesia,ID,0,18156,APNIC
22,13,0,8241,ArgoCom Ltd.,Ukraine,UA,0.59,39431,RIPE NCC
22,21,0,8241,China Satellite Communications (HongKong) Corporation Limited,Hong Kong,HK,0.95,17988,APNIC
22,0,0,8241,University of Sarajevo,Bosnia and Herzegovina,BA,0,8670,RIPE NCC
22,5,0,8241,"Metro Wireless International, Inc.",United States,US,0.23,63251,ARIN
22,0,0,8241,Kiwi Networks S A P I de CV,Mexico,MX,0,263114,LACNIC
22,0,0,8241,Solucions Valencianes i Noves Tecnologies SL,Spain,ES,0,200509,RIPE NCC
22,0,0,8241,Vac City KabelTV Ltd.,Hungary,HU,0,44419,RIPE NCC
22,0,0,8252,Swifttalk Limited,Nigeria,NG,0,37230,AFRINIC
22,0,0,8252,Cronon GmbH,Germany,DE,0,6786,RIPE NCC
22,0,0,8252,I-SUR WISP S.R.L.,Argentina,AR,0,52426,LACNIC
22,0,0,8252,Digital Communications Ltd.,Bulgaria,BG,0,34524,RIPE NCC
22,22,0,8258,RWD PROSPECT sp.z o.o.,Poland,PL,1,41006,RIPE NCC
22,0,0,8258,Institute of Mathematic and Mechanic of Ural Department of Russian Science Academy,Russia,RU,0,6699,RIPE NCC
22,0,0,8268,Business & Decision Interactive Eolas SRL,France,FR,0,15401,RIPE NCC
22,0,0,8272,OtradnoeNet Ltd.,Russia,RU,0,44030,RIPE NCC
22,22,0,8273,Integrated Digital Services Ltd,United Kingdom,GB,1,197898,RIPE NCC
22,22,0,8274,"Univerzitet ""Sv. Kiril i Metodij""",Macedonia,MK,1,5379,RIPE NCC
22,0,0,8276,Vero Internet,Brazil,BR,0,262671,LACNIC
22,0,0,8277,Belair Technologies,Canada,CA,0,22113,ARIN
22,0,0,8278,"aspStation, Inc.",United States,US,0,19261,ARIN
22,0,0,8280,Digital Satellite Connect Pvt Ltd,India,IN,0,137166,APNIC
22,0,0,8286,ChunkyChips.net Limited,United Kingdom,GB,0,29446,RIPE NCC
22,0,0,8288,ACME Universal Development Company,Hong Kong,HK,0,56190,APNIC
22,0,0,8289,s IT Solutions AT Spardat GmbH,Austria,AT,0,12895,RIPE NCC
22,22,0,8293,MIIT Ltd.,Ukraine,UA,1,41710,RIPE NCC
22,0,0,8296,IDOM TECHNOLOGIES SAS,France,FR,0,51110,RIPE NCC
22,22,0,8296,Multiplay Sp. z o.o. Sp. K.,Poland,PL,1,199551,RIPE NCC
22,22,0,8298,NETregator Kft.,Hungary,HU,1,44302,RIPE NCC
22,0,0,8300,ZONAMERICA,Uruguay,UY,0,14234,LACNIC
22,0,0,8302,Vermont-IT Limited Liability Company,Russia,RU,0,43667,RIPE NCC
22,0,0,8302,Linix Ltd,United Kingdom,GB,0,25582,RIPE NCC
22,0,0,8305,GVA Congo,Republic of the Congo,CG,0,37281,AFRINIC
22,0,0,8308,PJSC Rostelecom,Russia,RU,0,8828,RIPE NCC
22,14,0,8316,SkyWire (PTY) LTD,South Africa,ZA,0.64,37675,AFRINIC
22,0,0,8319,Wispone S.R.L.,Italy,IT,0,60822,RIPE NCC
22,15,0,8320,Net Rosas Telecomunicações Ltda.,Brazil,BR,0.68,28219,LACNIC
22,0,0,8321,OOREDOO MALDIVES PRIVATE LIMITED,Maldives,MV,0,55944,APNIC
22,0,0,8323,Fiber Vision Networks Pty Ltd,Australia,AU,0,58713,APNIC
22,22,0,8324,"Harbor Communications, LLC",United States,US,1,26949,ARIN
22,0,0,8325,"Information Network, LLC",Russia,RU,0,48416,RIPE NCC
22,0,0,8327,Sputnikovaya svyaz LLC,Russia,RU,0,29071,RIPE NCC
